Student ID,First Name,Last Name,Home Phone,Mother First Name,Mother Last Name,Mother Cell Phone,Father First Name,Father Last Name,Father Cell Phone
10001,Alex,Morgan,555-0101,Sarah,Morgan,555-0102,David,Morgan,555-0103
10002,Emma,Johnson,555-0111,Laura,Johnson,555-0112,Robert,Johnson,555-0113
10003,Liam,Davis,555-0121,Jennifer,Davis,555-0122,Michael,Davis,555-0123
10004,Sophia,Martinez,555-0131,Elena,Martinez,555-0132,Carlos,Martinez,555-0133
10005,Noah,Wilson,555-0141,Emily,Wilson,555-0142,James,Wilson,555-0143
10006,Olivia,Brown,555-0151,Jessica,Brown,555-0152,William,Brown,555-0153
10007,Ethan,Taylor,555-0161,Amanda,Taylor,555-0162,Richard,Taylor,555-0163
10008,Ava,Anderson,555-0171,Megan,Anderson,555-0172,Joseph,Anderson,555-0173
10009,Mason,Thomas,555-0181,Rachel,Thomas,555-0182,Charles,Thomas,555-0183
10010,Isabella,Jackson,555-0191,Ashley,Jackson,555-0192,Daniel,Jackson,555-0193
